"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008","iqb_pcr_2008","iqb_factor_2008"
"1","ACassis brasil",120005,"1200054",0.588,"AC","assis brasil","Acre",7.78336150688378,5.39412742139401,0,5559,0,5559,1,"Não","Feminino",1,"38",0.0165289256198347,0,0.896694214876033,0.115207373271889,1,1,1,0,"AC","Assis Brasil","assis brasil","10088522.97",16.1269089960842,0.0851473194780633,0.632718891845622
"2","ACbujari",120013,"1200138",0.589,"AC","bujari","Acre",7.72661398152059,3.10548313751311,0,6745,1,6745,0,"Não","Masculino",0,"53",0.152727272727273,0.00490196078431373,0.741818181818182,0.343137254901961,1,1,1,0,"AC","Bujari","bujari","11265433.98",16.2372496557402,0.0926420328899459,0.671981341604945
"3","ACcapixaba",120017,"1200179",0.575,"AC","capixaba","Acre",7.7023302521722,4.22083035949488,0,8897,1,8897,1,"Sim","Masculino",1,"32",0.0737913486005089,0.00563380281690141,0.903307888040712,0.0929577464788732,0,0,0,1,"AC","Capixaba","capixaba","9428848.78",16.0592845665633,0.0767143800093868,0.665573373911079
"4","ACcruzeiro do sul",120020,"1200203",0.664,"AC","cruzeiro do sul","Acre",7.95113670665083,6.38723279223728,0,76392,0,76392,0,"Não","Masculino",0,"50",0.230998509687034,0,0.889716840536513,0.102177554438861,0,0,0,1,"AC","Cruzeiro do Sul","cruzeiro do sul","57644030.72",17.8697972558665,0.0599897247113645,0.746272872653066
"5","ACmanoel urbano",120034,"1200344",0.551,"AC","manoel urbano","Acre",7.79987216368387,5.31379693739642,0,7405,0,7405,1,"Sim","Masculino",0,"55",0.0305555555555556,0,0.844444444444444,0.161184210526316,0,0,0,1,"AC","Manoel Urbano","manoel urbano","12280928.2",16.323558064146,0.0881311673868537,0.633644839903923
"6","ACmarechal thaumaturgo",120035,"1200351",0.501,"AC","marechal thaumaturgo","Acre",7.9383563570337,6.32507555144816,0,13728,0,13728,0,"Não","Masculino",0,"28",0.0114285714285714,0,0.855238095238095,0.169265033407572,1,1,1,0,"AC","Marechal Thaumaturgo","marechal thaumaturgo","21171553.54",16.8681690244526,0.091058734074951,0.622557341529593
"7","ACporto acre",120080,"1200807",0.576,"AC","porto acre","Acre",7.71137886668269,3.96385615406816,0,14309,0,14309,1,"Não","Masculino",0,"46",0.137123745819398,0,0.879598662207358,0.136882129277567,0,0,0,1,"AC","Porto Acre","porto acre","12774673.47",16.3629751336491,0.0738682430538893,0.692543668027027
"8","ACporto walter",120039,"1200393",0.532,"AC","porto walter","Acre",7.94517987067008,6.3525074376634,0,8562,0,8562,0,"Sim","Masculino",0,"58",0.0102389078498294,0,0.938566552901024,0.04,1,1,1,0,"AC","Porto Walter","porto walter","12040860.15",16.3038164363231,0.0784128905632159,0.639881644200187
"9","ACrio branco",120040,"1200401",0.727,"AC","rio branco","Acre",7.71780065940226,0,0,301398,1,301398,1,"Sim","Masculino",1,"54",0.329072739948873,0.00326141495233317,0.926330467115966,0.0735072754641244,1,1,1,0,"AC","Rio Branco","rio branco","369993185.6",19.7289951461356,0.0463211296785617,0.801312165847963
"10","ACrodrigues alves",120042,"1200427",0.567,"AC","rodrigues alves","Acre",7.94875611002499,6.37424086696145,0,13020,0,13020,0,"Não","Masculino",0,"48",0.0653266331658292,0,0.969849246231156,0.0310880829015544,0,0,0,1,"AC","Rodrigues Alves","rodrigues alves","13695843.85",16.4326029761596,0.0714008893622974,0.669821160190056
"11","ACsanta rosa do purus",120043,"1200435",0.517,"AC","santa rosa do purus","Acre",7.84226699585861,5.70438229472817,0,4165,0,4165,0,"Não","Masculino",0,"47",0.0398009950248756,0,0.985074626865672,0.0151515151515152,1,1,1,0,"AC","Santa Rosa do Purus","santa rosa do purus","10320827.23",16.149674472751,0.0726664058710111,0.658733783538957
"12","ACsena madureira",120050,"1200500",0.603,"AC","sena madureira","Acre",7.77039625798951,4.92194978926357,0,35544,0,35544,1,"Sim","Masculino",1,"48",0.111278195488722,0,0.950375939849624,0.0522151898734177,0,0,0,1,"AC","Sena Madureira","sena madureira","43187280.21",17.5810565702752,0.0683751547931298,0.690830535214725
"13","ACsenador guiomard",120045,"1200450",0.64,"AC","senador guiomard","Acre",7.71159374138471,3.05305734017326,0,19506,1,19506,0,"Não","Masculino",0,"29",0.204702627939142,0,0.885200553250346,0.1296875,0,0,0,1,"AC","Senador Guiomard","senador guiomard","21554170.54",16.8860798843281,0.0656357881810141,0.728753071033078
"14","ACxapuri",120070,"1200708",0.599,"AC","xapuri","Acre",7.7395812067775,4.67208089127072,0,14848,0,14848,1,"Não","Masculino",1,"45",0.172489082969432,0.0101781170483461,0.858078602620087,0.129770992366412,0,0,0,1,"AC","Xapuri","xapuri","13854204.84",16.4440993430769,0.069481422586489,0.711831468202595
"15","ALanadia",270020,"2700201",0.568,"AL","anadia","Alagoas",7.26606588449684,4.13356527537538,0,17765,0,17765,0,"Não","Feminino",1,"44",0.184412733260154,0,0.830954994511526,0.0409511228533686,1,0,0,0,"AL","Anadia","anadia","17152332.24",16.6576447130009,0.059122102464977,0.73049951119604
"16","ALarapiraca",270030,"2700300",0.649,"AL","arapiraca","Alagoas",7.23933700509894,4.6243844049119,0,208447,0,208447,1,"Sim","Masculino",1,"50",0.344594594594595,0,0.902871621621622,0.0528531337698784,0,0,0,1,"AL","Arapiraca","arapiraca","227287925.8",19.2417281673063,0.0424710898713383,0.81230696940821
"17","ALatalaia",270040,"2700409",0.561,"AL","atalaia","Alagoas",7.29144501521246,3.59621576925052,0,51903,0,51903,0,"Sim","Masculino",0,"52",0.069910897875257,0,0.947909527073338,0.0549530007230658,0,0,0,1,"AL","Atalaia","atalaia","37692300.2",17.4449663928319,0.0732498009829481,0.668896851838258
"18","ALbatalha",270070,"2700706",0.594,"AL","batalha","Alagoas",7.21048604963544,5.02631177348126,0,16735,1,16735,0,"Sim","Masculino",1,"30",0.103494623655914,0.00431034482758621,0.935483870967742,0.0632183908045977,0,0,0,1,"AL","Batalha","batalha","17754312.62",16.6921390088816,0.0704359170428978,0.685194365029279
"19","ALbelo monte",270090,"2700904",0.517,"AL","belo monte","Alagoas",7.19323492787872,5.13738541243255,0,7452,0,7452,0,"Não","Masculino",0,"47",0.110091743119266,0.0720338983050847,0.7217125382263,0.203389830508475,0,0,0,1,"AL","Belo Monte","belo monte","9483918.71",16.0651081548528,0.0852358292719757,0.668336674388486
