"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2012","partido_pt_2012","inova7","pop_2012.1","bur_consel_2012","cand_reelec_2012","cand_sex_2012","cand_esc_2012","cand_age_2012","bur_escol_2011","bur_terc_2011","bur_espel_2012","bur_polit_2012","alinhamento_estadual_2012","alinhamento_federal_2012","alinhamento_ambos_2012","n_alinhado_2012","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2012","log_orcamento_2012","iqb_pcr_2012","iqb_factor_2012"
"1","ACassis brasil",120005,"1200054",0.588,"AC","assis brasil","Acre",7.78336150688378,5.39412742139401,0,6308,0,0,6308,1,"Não","Masculino",1,"43",0.337236533957845,0,0.842639593908629,0.186746987951807,1,1,1,0,"AC","Assis Brasil","assis brasil","12170130.73",16.3144952068945,0.148483891577878,0.677551158998384
"4","ACcruzeiro do sul",120020,"1200203",0.664,"AC","cruzeiro do sul","Acre",7.95113670665083,6.38723279223728,0,79819,0,0,79819,1,"Sim","Masculino",0,"54",0.324127906976744,0,0.648900169204738,0.108865710560626,0,0,0,1,"AC","Cruzeiro do Sul","cruzeiro do sul","100612004.08",18.4267821333622,0.138080539611763,0.689935986661056
"6","ACmarechal thaumaturgo",120035,"1200351",0.501,"AC","marechal thaumaturgo","Acre",7.9383563570337,6.32507555144816,0,15123,1,0,15123,1,"Não","Masculino",0,"44",0.401459854014599,0,0.936728395061728,0.0675453047775947,0,0,0,1,"AC","Marechal Thaumaturgo","marechal thaumaturgo","27783665.57",17.1399588365498,0.109558852068585,0.750276503414589
"8","ACporto walter",120039,"1200393",0.532,"AC","porto walter","Acre",7.94517987067008,6.3525074376634,0,9711,0,0,9711,0,"Não","Masculino",0,"49",0.368653421633554,0,0.931106471816284,0.0739910313901345,1,1,1,0,"AC","Porto Walter","porto walter","17167129.88",16.6585070599028,0.119668920101647,0.727630950170134
"9","ACrio branco",120040,"1200401",0.727,"AC","rio branco","Acre",7.71780065940226,0,0,348354,1,1,348354,1,"Não","Masculino",1,"36",0.461660079051383,0.0787048567870486,0.791515151515152,0.0872894333843798,1,1,1,0,"AC","Rio Branco","rio branco","535036081.98",20.0978447455394,0.0990393357696712,0.781923058823008
"10","ACrodrigues alves",120042,"1200427",0.567,"AC","rodrigues alves","Acre",7.94875611002499,6.37424086696145,0,15260,1,0,15260,1,"Sim","Masculino",0,"51",0.358907672301691,0,0.922237380627558,0.0843195266272189,1,1,1,0,"AC","Rodrigues Alves","rodrigues alves","21907993.67",16.9023621359502,0.124182667882181,0.718662301412345
"11","ACsanta rosa do purus",120043,"1200435",0.517,"AC","santa rosa do purus","Acre",7.84226699585861,5.70438229472817,0,5061,0,0,5061,0,"Não","Masculino",0,"38",0.609756097560976,0,0.32510885341074,0.321428571428571,1,1,1,0,"AC","Santa Rosa do Purus","santa rosa do purus","17046770.44",16.6514713267433,0.0982896409921563,0.815522734291582
"12","ACsena madureira",120050,"1200500",0.603,"AC","sena madureira","Acre",7.77039625798951,4.92194978926357,0,39366,0,0,39366,0,"Não","Masculino",0,"36",0.0930232558139535,0.00268096514745308,0.877790834312573,0.139223560910308,0,0,0,1,"AC","Sena Madureira","sena madureira","48263577.45",17.6921877440918,0.206679891265271,0.534367560245284
"13","ACsenador guiomard",120045,"1200450",0.64,"AC","senador guiomard","Acre",7.71159374138471,3.05305734017326,0,20588,0,0,20588,0,"Não","Masculino",1,"34",0.21656050955414,0,0.906424581005587,0.103235747303544,0,0,0,1,"AC","Senador Guiomard","senador guiomard","34011929.5",17.3422218886878,0.166425350067951,0.622814577262553
"15","ALanadia",270020,"2700201",0.568,"AL","anadia","Alagoas",7.26606588449684,4.13356527537538,0,17360,0,1,17360,0,"Sim","Masculino",0,"45",0.0870032223415682,0.0102857142857143,0.823863636363636,0.0770114942528736,0,1,0,0,"AL","Anadia","anadia","28297750.81",17.1582928827766,0.1973833866228,0.546955533775003
