code_muni;ADM_DIRETA;SI;EF;EM;ES;POS_GRAD;ESTATUTARIOS;ESTATUTARIOS_SI;ESTATUTARIOS_EF;ESTATUTARIOS_EM;ESTATUTARIOS_ES;ESTATUTARIOS_POS;CLT;CLT_SI;CLT_EF;CLT_EM;CLT_ES;CLT_POS;COMISSIONADOS;COMISSIONADOS_SI;COMISSIONADOS_EF;COMISSIONADOS_EM;COMISSIONADOS_ES;COMISSIONADOS_POS;SEMVINC;SEMVINC_SI;SEMVINC_EF;SEMVINC_EF;SEMVINC_ES;SEMVINC_POS
110001;838;140;171;367;140;20;658;118;94;298;128;20;47;4;27;16;0;0;133;18;50;53;12;0;0;0;0;0;0;0
110002;2390;0;549;1199;431;211;2023;0;549;838;425;211;0;0;0;0;0;0;249;0;0;243;6;0;0;0;0;0;0;0
110003;266;0;91;114;43;18;141;0;44;52;27;18;22;0;7;15;0;0;88;0;40;44;4;0;15;0;0;3;12;0
110004;1897;0;466;939;492;0;1298;0;325;580;393;0;141;0;15;126;0;0;397;0;106;224;67;0;61;0;20;9;32;0
110005;497;0;263;149;55;30;407;0;237;99;41;30;45;0;12;27;6;0;45;0;14;23;8;0;0;0;0;0;0;0
110006;548;85;231;201;27;4;391;25;170;171;22;3;94;47;47;0;0;0;63;13;14;30;5;1;0;0;0;0;0;0
110007;358;0;168;141;24;25;341;0;161;135;22;23;0;0;0;0;0;0;17;0;7;6;2;2;0;0;0;0;0;0
110008;588;0;264;257;60;7;492;0;242;203;40;7;23;0;1;19;3;0;40;0;7;21;12;0;33;0;14;14;5;0
110009;782;2;340;306;94;40;553;2;232;212;67;40;35;0;22;12;1;0;106;0;46;46;14;0;88;0;40;36;12;0
110010;846;0;476;253;99;18;595;0;381;150;49;15;126;0;80;17;29;0;120;0;15;81;21;3;5;0;0;5;0;0
110011;1619;0;793;608;186;32;1154;0;619;424;79;32;78;0;26;51;1;0;387;0;148;133;106;0;0;0;0;0;0;0
110012;2726;54;1086;1048;538;0;2057;4;1039;510;504;0;63;4;2;51;6;0;468;33;2;432;1;0;136;13;43;53;27;0
110013;871;156;160;267;232;56;653;126;87;164;220;56;103;16;38;49;0;0;115;14;35;54;12;0;0;0;0;0;0;0
110014;707;23;131;211;214;128;573;23;85;147;192;126;50;0;27;23;0;0;62;0;19;32;11;0;22;0;0;9;11;2
110015;1200;0;480;523;72;125;977;0;480;306;66;125;106;0;0;105;1;0;110;0;0;105;5;0;7;0;0;7;0;0
110018;722;1;265;310;146;0;0;0;0;0;0;0;613;1;234;252;126;0;109;0;31;58;20;0;0;0;0;0;0;0
110020;8443;13;2527;3384;1903;616;7037;13;2358;2448;1610;608;876;0;116;609;145;6;452;0;50;282;120;0;74;0;3;41;28;2
110025;804;235;289;180;40;60;638;173;221;164;20;60;0;0;0;0;0;0;41;0;40;0;1;0;125;62;28;16;19;0
110026;233;0;115;69;49;0;209;0;98;64;47;0;13;0;9;3;1;0;11;0;8;2;1;0;0;0;0;0;0;0
110028;1239;217;175;553;209;85;964;217;108;377;177;85;114;0;23;90;1;0;113;0;44;38;31;0;0;0;0;0;0;0
110029;335;0;106;145;84;0;284;0;80;120;84;0;26;0;26;0;0;0;19;0;0;19;0;0;6;0;0;6;0;0
110030;2276;0;756;963;404;153;1753;0;567;693;342;151;115;0;38;74;2;1;392;0;149;186;57;0;16;0;2;10;3;1
110032;701;20;320;140;209;12;529;15;220;95;187;12;61;5;46;10;0;0;80;0;34;31;15;0;31;0;20;4;7;0
110033;866;0;341;353;131;41;768;0;307;306;114;41;0;0;0;0;0;0;98;0;34;47;17;0;0;0;0;0;0;0
110034;728;30;151;203;204;140;632;30;120;142;200;140;10;0;0;10;0;0;83;0;31;48;4;0;0;0;0;0;0;0
110037;507;0;52;297;128;30;460;0;52;255;123;30;0;0;0;0;0;0;47;0;0;42;5;0;0;0;0;0;0;0
110040;568;0;246;182;101;39;424;0;151;145;95;33;62;0;49;13;0;0;76;0;46;24;6;0;6;0;0;0;0;6
110045;949;152;195;420;151;31;744;107;119;341;146;31;0;0;0;0;0;0;198;45;73;78;2;0;7;0;3;1;3;0
110050;397;0;172;176;47;2;332;0;136;156;40;0;27;0;25;2;0;0;38;0;11;18;7;2;0;0;0;0;0;0
110060;285;0;107;104;46;28;257;0;99;90;41;27;0;0;0;0;0;0;28;0;8;14;5;1;0;0;0;0;0;0
110070;414;0;232;148;34;0;385;0;222;131;32;0;0;0;0;0;0;0;29;0;10;17;2;0;0;0;0;0;0;0
110080;627;1;121;435;70;0;462;1;81;338;42;0;26;0;3;19;4;0;139;0;37;78;24;0;0;0;0;0;0;0
110090;153;2;0;99;36;16;112;2;0;60;34;16;21;0;0;21;0;0;20;0;0;18;2;0;0;0;0;0;0;0
110092;584;144;129;164;114;33;428;94;102;112;87;33;7;0;0;4;3;0;149;50;27;48;24;0;0;0;0;0;0;0
110094;419;0;195;182;42;0;385;0;168;179;38;0;0;0;0;0;0;0;34;0;27;3;4;0;0;0;0;0;0;0
110100;468;3;98;228;109;30;361;3;57;178;93;30;70;0;26;40;4;0;34;0;15;10;9;0;3;0;0;0;3;0
110110;500;0;208;245;47;0;384;0;159;186;39;0;0;0;0;0;0;0;116;0;49;59;8;0;0;0;0;0;0;0
