code_muni;total_fun_direta;estatutarios;clt;comissionados;sem_vinculo
110001;838;658;47;133;0
110002;2390;2023;0;249;0
110003;266;141;22;88;15
110004;1897;1298;141;397;61
110005;497;407;45;45;0
110006;548;391;94;63;0
110007;358;341;0;17;0
110008;588;492;23;40;33
110009;782;553;35;106;88
110010;846;595;126;120;5
110011;1619;1154;78;387;0
110012;2726;2057;63;468;136
110013;871;653;103;115;0
110014;707;573;50;62;22
110015;1200;977;106;110;7
110018;722;0;613;109;0
110020;8443;7037;876;452;74
110025;804;638;0;41;125
110026;233;209;13;11;0
110028;1239;964;114;113;0
110029;335;284;26;19;6
110030;2276;1753;115;392;16
110032;701;529;61;80;31
110033;866;768;0;98;0
110034;728;632;10;83;0
110037;507;460;0;47;0
110040;568;424;62;76;6
110045;949;744;0;198;7
110050;397;332;27;38;0
110060;285;257;0;28;0
110070;414;385;0;29;0
110080;627;462;26;139;0
110090;153;112;21;20;0
110092;584;428;7;149;0
110094;419;385;0;34;0
110100;468;361;70;34;3
110110;500;384;0;116;0
110120;382;362;0;20;0
110130;436;368;2;52;14
110140;498;358;0;139;1
110143;331;189;84;53;5
110145;392;328;13;51;0
110146;198;120;0;70;8
110147;255;203;0;52;0
110148;200;133;28;21;18
110149;579;309;76;189;5
110150;419;351;39;29;0
110155;269;202;0;35;32
110160;483;411;0;72;0
110170;287;257;25;5;0
110175;380;337;1;42;0
110180;362;281;28;46;7
120001;380;0;329;49;2
120005;242;0;217;25;0
120010;716;0;602;43;70
120013;275;0;204;70;1
120017;393;0;355;33;5
120020;1342;1194;0;122;20
120025;432;0;376;47;9
120030;923;765;106;19;3
120032;605;0;499;66;40
120033;403;266;0;15;122
120034;360;0;304;49;7
120035;525;449;0;76;0
120038;694;0;524;27;143
120039;293;275;0;11;7
120040;4303;0;3986;293;14
120042;398;386;0;12;0
120043;201;0;198;3;0
120045;723;640;0;83;0
120050;665;0;632;33;0
120060;1036;0;852;61;123
120070;458;0;393;51;14
120080;299;0;263;36;0
130002;659;454;198;6;1
130006;179;150;0;29;0
130008;218;112;0;53;53
130010;142;80;0;51;11
130014;676;348;0;69;259
130020;630;131;0;23;476
130030;1183;550;0;50;582
130040;988;711;0;61;216
130050;789;504;0;57;228
130060;1376;577;0;72;727
130063;764;625;0;31;108
130068;733;373;0;168;192
130070;1554;1084;81;109;280
130080;973;420;0;13;540
130083;882;580;0;15;287
130090;691;448;0;243;0
130100;904;769;0;53;82
130110;1107;801;0;214;92
130115;777;443;0;124;210
130120;1353;733;0;147;472
130130;430;331;0;84;15
130140;1459;1150;0;151;158
130150;704;518;52;51;83
130160;1020;954;0;60;6
130165;637;471;0;94;70
130170;1406;745;0;158;503
130180;380;276;0;104;0
130185;1570;753;0;156;661
130190;3759;2692;779;157;131
130195;399;327;0;28;44
130200;456;236;184;30;6
130210;271;65;200;0;0
130220;375;325;0;50;0
130230;1075;739;0;19;317
130240;1107;644;74;134;255
130250;1322;1084;56;182;0
130255;1011;108;0;80;823
130260;30737;14048;2221;952;12821
130270;1626;901;549;154;22
130280;711;186;499;26;0
130290;2530;939;1363;195;33
130300;621;374;0;75;172
130310;1047;398;0;8;641
130320;542;145;0;20;377
130330;650;409;67;104;70
130340;3720;1360;0;60;2300
130350;616;445;0;17;154
130353;2516;1716;0;160;640
130356;733;341;0;77;315
130360;433;189;0;15;229
130370;793;581;0;23;189
130380;1174;639;2;70;461
130390;251;150;69;32;0
130395;293;230;0;63;0
130400;551;135;341;27;48
130406;2091;1098;0;123;870
130410;1180;963;0;40;177
130420;2129;1144;929;23;33
130423;477;466;0;11;0
130426;609;103;40;20;446
130430;821;655;0;40;126
130440;469;345;91;32;0
140002;298;70;0;48;177
140005;555;315;69;2;168
140010;7519;2346;0;1262;3911
140015;472;260;0;65;147
140017;425;90;0;57;278
140020;1113;87;833;84;47
140023;336;126;0;22;188
140028;241;149;0;34;57
140030;553;251;51;215;33
140040;406;86;0;62;258
140045;461;160;0;65;236
140047;393;194;0;174;25
140050;210;147;0;63;0
140060;319;95;0;40;184
140070;134;41;0;35;58
150010;3760;3564;0;196;0
150013;361;341;0;18;2
150020;2349;1137;178;165;869
150030;2603;1579;0;128;896
150034;692;72;0;58;562
150040;1720;1441;0;264;15
150050;2207;1399;0;128;680
150060;2861;1749;0;179;933
150070;1140;875;0;105;160
150080;7273;1736;557;2735;2245
150085;761;342;0;43;376
150090;1173;66;30;72;1005
150095;863;791;0;72;0
150100;755;710;0;22;23
150110;882;832;0;38;12
150120;1308;1216;0;32;60
150125;416;265;0;35;112
150130;4636;2563;0;1093;980
150140;18805;12399;0;1628;4778
150145;745;56;0;42;647
150150;1256;425;0;97;734
150157;384;374;0;10;0
150160;315;223;0;25;67
150170;2320;1875;0;92;353
150172;600;411;0;47;142
150175;274;224;0;47;3
150178;1803;1021;0;232;550
150180;2692;2158;0;122;412
150190;1000;595;0;105;300
150195;576;320;27;63;166
150200;810;651;0;34;125
150210;3643;2930;4;109;600
150215;1354;290;0;169;895
150220;1297;1183;0;81;33
150230;1292;0;90;52;1150
150240;3576;1707;0;184;1623
150250;715;42;0;32;641
150260;446;304;0;69;73
150270;941;818;91;24;8
150275;1002;974;0;28;0
150276;155;125;0;30;0
150277;474;129;0;54;291
150280;655;565;0;88;2
150285;632;317;0;38;277
150290;835;366;0;87;379
150293;1544;1487;0;32;0
150295;909;603;0;6;300
150300;561;269;7;49;236
150304;675;640;0;35;0
150307;1337;492;0;22;823
150309;1498;545;0;104;849
150310;1604;1604;0;0;0
150320;898;476;0;33;389
150330;1994;1279;0;135;495
150340;265;190;0;15;60
150345;1080;604;0;43;433
150350;978;648;0;63;267
150360;2577;2014;0;496;67
150370;1534;1426;0;108;0
150375;588;542;0;46;0
150380;1145;806;0;142;197
150390;1704;830;0;26;847
150400;776;490;0;42;244
150405;1050;937;0;46;67
150410;274;154;0;65;55
150420;7339;4993;0;150;2196
150430;1456;566;0;18;872
150440;1151;690;0;80;381
150442;3551;3193;0;204;154
150445;501;437;0;24;40
150450;850;799;0;46;5
150460;1002;724;97;33;148
150470;1968;1468;0;102;398
150480;1805;1428;0;181;196
150490;1146;662;0;47;437
150495;957;7;0;100;850
150497;1030;942;0;88;0
150500;393;283;0;68;42
150503;868;795;0;73;0
150506;2716;1430;0;188;1098
150510;1560;995;0;65;500
150520;1274;1074;0;87;113
150530;2818;1847;0;137;833
150540;513;53;0;19;441
150543;868;852;0;4;12
150548;1360;566;0;23;771
150549;354;333;0;21;0
150550;2394;1840;465;89;0
150553;6946;1770;0;353;4817
150555;244;219;0;25;0
150560;286;144;56;61;25
150563;545;333;0;38;174
150565;600;454;0;55;91
150570;1110;451;0;29;630
150580;1969;1120;0;68;781
150590;1337;1252;0;85;0
150600;1139;1063;66;10;0
150610;311;236;0;44;31
150611;502;452;0;50;0
150613;2089;1737;270;81;0
150616;577;299;0;278;0
150618;1297;1111;0;59;119
150619;1091;997;0;49;45
150620;1059;1017;0;42;0
150630;910;110;0;36;764
150635;526;48;15;28;435
150640;364;225;115;24;0
150650;1432;879;73;60;419
150655;896;615;0;63;218
150658;424;130;0;48;246
150660;733;644;0;49;40
150670;1232;906;21;15;290
150680;8865;2636;0;214;5979
150690;266;254;0;12;0
150700;1388;765;0;168;455
150710;712;309;0;41;362
150715;873;803;0;70;0
150720;1184;811;0;109;264
150730;1779;1710;0;29;40
150740;581;524;0;7;50
150745;1184;1058;0;22;101
150746;203;8;0;4;191
150747;569;522;0;16;31
150750;669;306;0;25;338
150760;2052;485;0;100;1465
150770;524;413;0;94;17
150775;292;227;0;18;47
150780;489;324;0;30;135
150790;744;329;135;38;242
150795;1071;0;0;59;1012
150796;401;361;0;40;0
150797;417;373;16;28;0
150800;1973;1733;0;90;150
150803;890;333;0;70;484
150805;411;373;0;38;0
150808;986;558;0;64;364
150810;3994;2663;0;312;1013
150812;781;521;0;39;221
150815;1258;1135;0;20;103
150820;1126;849;0;113;164
150830;2781;1385;0;12;1384
150835;421;225;0;99;96
150840;1401;440;0;40;921
160005;215;151;0;40;24
160010;264;147;0;19;98
160015;545;194;0;85;266
160020;322;212;0;26;84
160021;307;260;0;26;21
160023;280;247;0;33;0
160025;216;95;0;10;111
160027;1451;1201;0;86;164
160030;7469;6041;960;468;0
160040;713;229;0;35;449
160050;435;295;0;42;98
160053;680;437;0;58;185
160055;319;189;0;11;119
160060;2889;1340;340;467;742
160070;414;92;0;58;264
160080;941;498;0;175;268
170025;174;83;0;57;34
170030;189;184;0;5;0
170035;202;117;0;33;52
170040;185;140;0;5;40
170070;192;105;0;17;70
170100;385;280;0;1;104
170105;168;124;0;39;5
170110;143;92;0;42;9
170130;179;152;0;15;12
170190;368;285;3;55;25
170200;597;397;0;71;129
170210;3309;1592;1;936;776
170215;256;225;0;19;12
170220;875;551;0;38;286
170230;358;307;0;38;13
170240;336;243;0;13;80
170255;372;340;0;32;0
170270;210;142;5;15;48
170290;458;389;0;68;1
