CodMunicipio;habitacao_2008;transporte_2008;meioambiente_2008;politicaurbana_2008;CM_2008;CM_rec_2008;CM_dic_2008
110001;0;0;0;0;0;0;0
110002;1;0;1;1;3;2;1
110003;0;0;0;0;0;0;0
110004;1;0;0;1;2;1;1
110005;0;0;0;0;0;0;0
110006;1;0;1;1;3;2;1
110007;0;0;1;0;1;1;1
110008;0;0;0;0;0;0;0
110009;0;0;1;1;2;2;1
110010;0;0;0;1;1;1;1
110011;0;0;0;1;1;1;1
110012;0;0;1;1;2;2;1
110013;1;0;0;1;2;1;1
110014;0;0;0;0;0;0;0
110015;0;0;0;0;0;0;0
110018;1;0;0;0;1;0;0
110020;1;1;1;0;3;2;1
110025;0;0;0;0;0;0;0
110026;0;0;0;0;0;0;0
110028;0;0;0;0;0;0;0
110029;0;0;0;0;0;0;0
110030;0;1;0;0;1;1;1
110032;1;1;1;0;3;2;1
110033;0;0;1;0;1;1;1
110034;0;0;0;0;0;0;0
110037;0;0;0;0;0;0;0
110040;0;0;1;0;1;1;1
110045;0;0;0;1;1;1;1
110050;0;1;0;0;1;1;1
110060;0;0;0;0;0;0;0
110070;0;0;1;0;1;1;1
110080;0;0;0;0;0;0;0
110090;0;0;0;0;0;0;0
110092;0;0;0;0;0;0;0
110094;0;0;1;0;1;1;1
110100;0;0;0;0;0;0;0
110110;0;0;1;0;1;1;1
110120;0;0;0;0;0;0;0
110130;0;0;1;0;1;1;1
110140;0;0;0;0;0;0;0
110143;0;0;0;0;0;0;0
110145;0;0;0;1;1;1;1
110146;0;0;0;0;0;0;0
110147;0;0;1;0;1;1;1
110148;0;0;0;0;0;0;0
110149;0;0;0;0;0;0;0
110150;0;0;0;0;0;0;0
110155;0;0;0;0;0;0;0
110160;0;0;0;0;0;0;0
110170;0;0;1;0;1;1;1
110175;0;0;0;1;1;1;1
110180;0;0;1;0;1;1;1
120001;0;0;0;0;0;0;0
120005;0;0;1;1;2;2;1
120010;0;0;1;1;2;2;1
120013;1;0;0;0;1;0;0
120017;0;0;1;0;1;1;1
120020;1;0;0;0;1;0;0
120025;0;0;1;0;1;1;1
120030;0;0;1;0;1;1;1
120032;0;0;0;0;0;0;0
120033;0;0;0;0;0;0;0
120034;0;0;1;0;1;1;1
120035;0;0;0;0;0;0;0
120038;0;0;0;0;0;0;0
120039;0;0;0;0;0;0;0
120040;1;1;1;1;4;3;1
120042;0;0;0;0;0;0;0
120043;0;0;0;0;0;0;0
120045;0;0;0;0;0;0;0
120050;0;0;0;1;1;1;1
120060;1;0;1;0;2;1;1
120070;1;0;1;0;2;1;1
120080;1;1;0;1;3;2;1
130002;0;0;0;1;1;1;1
130006;0;0;1;0;1;1;1
130008;0;0;0;0;0;0;0
130010;0;0;0;0;0;0;0
130014;0;0;0;0;0;0;0
130020;0;0;0;0;0;0;0
130030;0;0;0;0;0;0;0
130040;0;0;0;0;0;0;0
130050;0;0;0;0;0;0;0
130060;0;0;0;0;0;0;0
130063;0;0;0;0;0;0;0
130068;0;0;1;0;1;1;1
130070;0;0;0;0;0;0;0
130080;0;0;0;1;1;1;1
130083;1;0;1;0;2;1;1
130090;0;0;1;0;1;1;1
130100;0;0;1;0;1;1;1
130110;0;0;1;0;1;1;1
130115;0;0;0;0;0;0;0
130120;1;0;0;1;2;1;1
130130;0;0;0;0;0;0;0
130140;0;0;0;0;0;0;0
130150;0;0;0;0;0;0;0
130160;0;0;1;0;1;1;1
130165;0;0;1;0;1;1;1
130170;1;0;0;0;1;0;0
130180;0;0;0;0;0;0;0
130185;1;1;1;1;4;3;1
130190;0;1;1;0;2;2;1
130195;0;0;0;0;0;0;0
130200;1;0;0;0;1;0;0
130210;0;0;1;0;1;1;1
130220;0;0;0;0;0;0;0
130230;0;0;0;0;0;0;0
130240;0;0;1;0;1;1;1
130250;0;0;1;0;1;1;1
130255;0;0;0;0;0;0;0
130260;1;1;1;1;4;3;1
130270;0;0;1;0;1;1;1
130280;0;0;1;0;1;1;1
130290;0;0;1;1;2;2;1
130300;0;0;0;0;0;0;0
