CodIBGE;Total;Total_SI;Total_EF;Total_EM;Total_ES;Total_PG;Estatutarios;Estatutarios_SI;Estatutarios_EF;Estatutarios_EM;Estatutarios_ES;Estatutarios_PG;CLT;CLT_SI;CLT_EF;CLT_EM;CLT_S;CLT_PG;Comissionados;Comissionados_SI;Comissionados_EF;Comissionados_EM;Comissionados_ES;Comissionados_PG;SemVinculo;SemVinculo_SI;SemVinculo_EF;SemVinculo_EM;SemVinculo_ES;SemVinculo_PG
110001;901;141;183;381;74;122;749;141;130;297;59;122;67;0;28;38;1;0;85;0;25;46;14;0;0;0;0;0;0;0
110002;2579;0;464;1116;809;190;2178;0;413;861;717;187;39;0;0;0;39;0;201;0;51;94;53;3;0;0;0;0;0;0
110003;292;0;91;140;29;32;229;0;85;90;22;32;26;0;0;26;0;0;36;0;6;24;6;0;1;0;0;0;1;0
110004;2154;145;413;1069;289;238;1586;80;313;755;203;235;148;0;14;133;1;0;411;65;86;180;80;0;9;0;0;1;5;3
110005;573;0;321;137;115;0;466;0;278;91;97;0;34;0;16;0;18;0;73;0;27;46;0;0;0;0;0;0;0;0
110006;527;0;394;108;15;10;399;0;344;30;15;10;50;0;50;0;0;0;78;0;0;78;0;0;0;0;0;0;0;0
110007;395;0;152;169;34;40;366;0;142;155;31;38;0;0;0;0;0;0;29;0;10;14;3;2;0;0;0;0;0;0
110008;644;2;265;212;119;46;590;2;224;206;114;44;0;0;0;0;0;0;54;0;41;6;5;2;0;0;0;0;0;0
110009;869;2;313;284;150;120;572;2;185;175;96;114;45;0;27;17;1;0;141;0;72;42;27;0;100;0;29;39;26;6
110010;1258;23;376;496;299;64;1045;18;344;379;240;64;136;3;28;79;26;0;77;2;4;38;33;0;0;0;0;0;0;0
110011;1753;0;567;523;355;308;1042;0;264;233;237;308;109;0;43;66;0;0;602;0;260;224;118;0;0;0;0;0;0;0
110012;3059;7;948;1230;874;0;2113;0;848;570;695;0;46;0;1;42;3;0;601;0;67;461;73;0;299;7;32;157;103;0
110013;1107;0;318;403;213;173;843;0;239;254;177;173;168;0;48;87;33;0;88;0;31;57;0;0;8;0;0;5;3;0
110014;672;0;146;297;100;129;522;0;136;176;86;124;56;0;0;56;0;0;84;0;10;60;14;0;10;0;0;5;0;5
110015;1318;284;174;413;447;0;1062;228;130;299;405;0;101;13;35;53;0;0;155;43;9;61;42;0;0;0;0;0;0;0
110018;1120;2;377;475;246;20;0;0;0;0;0;0;1031;2;367;415;227;20;89;0;10;60;19;0;0;0;0;0;0;0
110020;12023;99;1871;4822;3655;1576;9907;98;1731;3823;2820;1435;1439;0;56;648;615;120;548;1;71;315;160;1;129;0;13;36;60;20
110025;634;0;159;317;89;69;466;0;126;215;68;57;61;0;0;58;3;0;102;0;33;42;16;11;5;0;0;2;2;1
110026;287;0;106;65;80;36;227;0;84;45;62;36;24;0;9;8;7;0;34;0;13;12;9;0;2;0;0;0;2;0
110028;1378;0;177;509;498;194;1186;0;177;356;459;194;123;0;0;116;7;0;69;0;0;37;32;0;0;0;0;0;0;0
110029;371;0;90;170;91;20;266;0;70;100;76;20;105;0;20;70;15;0;0;0;0;0;0;0;0;0;0;0;0;0
110030;2460;3;770;1035;411;241;1796;3;545;722;285;241;103;0;35;66;2;0;426;0;185;189;52;0;135;0;5;58;72;0
110032;710;0;266;236;174;34;535;0;190;161;150;34;79;0;33;35;11;0;68;0;15;40;13;0;0;0;0;0;0;0
110033;999;0;334;299;263;103;872;0;308;212;249;103;0;0;0;0;0;0;119;0;25;86;8;0;8;0;1;1;6;0
110034;738;6;332;226;88;86;613;0;295;165;77;76;8;0;7;1;0;0;112;6;30;60;10;6;5;0;0;0;1;4
110037;503;0;101;295;107;0;428;0;74;253;101;0;0;0;0;0;0;0;75;0;27;42;6;0;0;0;0;0;0;0
110040;811;121;141;211;208;130;616;86;75;136;191;128;106;32;31;31;10;2;89;3;35;44;7;0;0;0;0;0;0;0
110045;1183;0;446;360;220;157;855;0;311;189;198;157;148;0;30;101;17;0;180;0;105;70;5;0;0;0;0;0;0;0
110050;542;0;135;186;140;81;374;0;67;123;112;72;0;0;0;0;0;0;162;0;68;57;28;9;0;0;0;0;0;0
110060;336;1;103;117;92;23;311;0;92;109;87;23;0;0;0;0;0;0;14;0;5;5;4;0;11;1;6;3;1;0
110070;403;0;75;194;76;58;363;0;62;184;62;55;15;0;0;6;8;1;25;0;13;4;6;2;0;0;0;0;0;0
110080;829;0;204;343;237;45;513;0;99;190;179;45;46;0;5;27;14;0;263;0;100;119;44;0;7;0;0;7;0;0
110090;334;0;143;116;75;0;239;0;101;77;61;0;0;0;0;0;0;0;95;0;42;39;14;0;0;0;0;0;0;0
110092;624;0;271;186;130;37;427;0;182;131;77;37;13;0;0;0;13;0;163;0;89;55;19;0;21;0;0;0;21;0
110094;520;0;195;205;111;9;409;0;147;162;96;4;66;0;38;14;11;3;39;0;10;23;4;2;6;0;0;6;0;0
110100;526;7;143;202;106;68;360;0;103;104;85;68;103;0;25;70;8;0;63;7;15;28;13;0;0;0;0;0;0;0
110110;521;0;144;240;98;39;423;0;104;190;90;39;0;0;0;0;0;0;98;0;40;50;8;0;0;0;0;0;0;0
110120;409;0;60;182;48;119;378;0;60;151;48;119;1;0;0;1;0;0;30;0;0;30;0;0;0;0;0;0;0;0
110130;470;24;139;207;47;53;400;22;111;171;43;53;1;0;0;0;1;0;68;2;28;36;2;0;1;0;0;0;1;0
110140;527;2;193;181;103;48;341;0;136;100;57;48;14;0;2;12;0;0;141;2;54;63;22;0;31;0;1;6;24;0
110143;382;77;73;166;48;18;350;71;65;148;48;18;0;0;0;0;0;0;32;6;8;18;0;0;0;0;0;0;0;0
110145;251;12;39;118;82;0;174;10;25;71;68;0;31;0;0;19;12;0;41;2;12;25;2;0;5;0;2;3;0;0
110146;232;0;94;94;28;16;112;0;42;45;9;16;0;0;0;0;0;0;117;0;52;46;19;0;3;0;0;3;0;0
110147;222;0;69;116;12;25;178;0;65;92;3;18;0;0;0;0;0;0;37;0;4;24;4;5;7;0;0;0;5;2
110148;297;1;86;119;91;0;199;0;66;70;63;0;29;0;5;13;11;0;53;0;13;32;8;0;16;1;2;4;9;0
110149;695;0;167;287;241;0;548;0;129;182;237;0;0;0;0;0;0;0;147;0;38;105;4;0;0;0;0;0;0;0
110150;462;2;119;170;171;0;408;2;97;138;171;0;42;0;17;25;0;0;12;0;5;7;0;0;0;0;0;0;0;0
110155;279;1;113;85;30;50;239;1;91;69;28;50;0;0;0;0;0;0;34;0;18;14;2;0;6;0;4;2;0;0
110160;596;0;145;187;172;92;485;0;110;138;150;87;6;0;0;0;6;0;105;0;35;49;16;5;0;0;0;0;0;0
110170;440;0;213;120;107;0;368;0;182;89;97;0;42;0;18;21;3;0;30;0;13;10;7;0;0;0;0;0;0;0
110175;387;0;109;54;102;122;319;0;92;32;83;112;16;0;6;3;7;0;52;0;11;19;12;10;0;0;0;0;0;0
110180;451;0;118;204;38;91;324;0;95;119;28;82;48;0;0;40;2;6;72;0;20;44;5;3;7;0;3;1;3;0
120001;529;0;101;191;157;80;0;0;0;0;0;0;483;0;101;154;148;80;43;0;0;37;6;0;3;0;0;0;3;0
120005;427;42;88;131;162;4;0;0;0;0;0;0;182;12;18;8;142;2;33;0;0;11;20;2;212;30;70;112;0;0
120010;781;64;179;309;193;36;0;0;0;0;0;0;659;59;144;260;160;36;42;0;5;18;19;0;80;5;30;31;14;0
120013;267;55;30;86;76;20;0;0;0;0;0;0;201;55;9;44;73;20;66;0;21;42;3;0;0;0;0;0;0;0
120017;437;0;95;186;127;29;0;0;0;0;0;0;397;0;63;180;127;27;40;0;32;6;0;2;0;0;0;0;0;0
120020;1376;0;47;871;338;120;1192;0;47;699;326;120;0;0;0;0;0;0;184;0;0;172;12;0;0;0;0;0;0;0
120025;505;0;150;221;68;66;0;0;0;0;0;0;450;0;146;172;66;66;55;0;4;49;2;0;0;0;0;0;0;0
120030;1047;0;244;592;152;59;497;0;105;277;78;37;281;0;139;88;36;18;50;0;0;48;1;1;219;0;0;179;37;3
120032;662;0;259;278;123;2;0;0;0;0;0;0;475;0;192;179;102;2;33;0;7;15;11;0;154;0;60;84;10;0
120033;659;2;107;407;121;22;594;2;99;365;110;18;0;0;0;0;0;0;65;0;8;42;11;4;0;0;0;0;0;0
120034;409;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;0;0;0;0;0;0;366;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;34;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;9;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado
120035;685;0;266;138;279;2;602;0;212;115;273;2;0;0;0;0;0;0;83;0;54;23;6;0;0;0;0;0;0;0
120038;574;0;56;230;192;96;0;0;0;0;0;0;529;0;56;204;173;96;32;0;0;24;8;0;13;0;0;2;11;0
