"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008","iqb_factor_2008","psych_pcr_2008","iqb_pcr_2008"
"1","ACacrelandia",120001,"1200013",0.604,"AC","acrelandia","Acre",7.67672859766008,4.63327161609897,0,11987,0,11987,0,"Não","Masculino",0,"25",0.207894736842105,0.0060790273556231,0.865789473684211,0.148936170212766,0,0,0,1,"AC","Acrelandia","acrelandia","15486638.53",16.5554881798051,0.735419056470389,0.0610911910782812,0.93890880892172
"2","ACassis brasil",120005,"1200054",0.588,"AC","assis brasil","Acre",7.78336150688378,5.39412742139401,0,5559,0,5559,1,"Não","Feminino",1,"38",0.0165289256198347,0,0.896694214876033,0.115207373271889,1,1,1,0,"AC","Assis Brasil","assis brasil","10088522.97",16.1269089960842,0.64336959726036,0.077531366154197,0.922468633845804
"3","ACbrasileia",120010,"1200104",0.614,"AC","brasileia","Acre",7.74591580651515,5.03792615433216,0,19829,0,19829,1,"Sim","Feminino",1,"39",0.0712290502793296,0.0166112956810631,0.840782122905028,0.0714285714285714,1,1,1,0,"AC","Brasileia","brasileia","22830961.57",16.9436281363225,0.67588221618779,0.0686187010748141,0.931381298925187
"4","ACbujari",120013,"1200138",0.589,"AC","bujari","Acre",7.72661398152059,3.10548313751311,0,6745,1,6745,0,"Não","Masculino",0,"53",0.152727272727273,0.00490196078431373,0.741818181818182,0.343137254901961,1,1,1,0,"AC","Bujari","bujari","11265433.98",16.2372496557402,0.684485651548172,0.0833979500373705,0.916602049962631
"5","ACcapixaba",120017,"1200179",0.575,"AC","capixaba","Acre",7.7023302521722,4.22083035949488,0,8897,0,8897,1,"Sim","Masculino",1,"32",0.0737913486005089,0.00563380281690141,0.903307888040712,0.0929577464788732,0,0,0,1,"AC","Capixaba","capixaba","9428848.78",16.0592845665633,0.674733570463839,0.0699268100319521,0.930073189968049
"6","ACcruzeiro do sul",120020,"1200203",0.664,"AC","cruzeiro do sul","Acre",7.95113670665083,6.38723279223728,0,76392,0,76392,0,"Não","Masculino",0,"50",0.230998509687034,0,0.889716840536513,0.102177554438861,0,0,0,1,"AC","Cruzeiro do Sul","cruzeiro do sul","57644030.72",17.8697972558665,0.752697864142914,0.0545550026223204,0.94544499737768
"7","ACepitaciolandia",120025,"1200252",0.653,"AC","epitaciolandia","Acre",7.74534906390711,5.04490788803835,0,13960,0,13960,1,"Sim","Masculino",0,"49",0.31712962962963,0.023936170212766,0.87037037037037,0.125,0,0,0,1,"AC","Epitaciolandia","epitaciolandia","12979903.3",16.3789128192895,0.792946144086326,0.0483614716698093,0.951638528330191
"8","ACfeijo",120030,"1200302",0.539,"AC","feijo","Acre",7.85533147689537,5.84165858199071,0,32210,0,32210,1,"Não","Masculino",0,"43",0.435536294691224,0.0034443168771527,0.943661971830986,0.0218140068886338,1,1,1,0,"AC","Feijo","feijo","27305737.69",17.1226074098671,0.865045192293126,0.0268841394273535,0.973115860572647
"9","ACjordao",120032,"1200328",0.469,"AC","jordao","Acre",7.89769044702238,6.11049125352962,0,6333,0,6333,0,"Sim","Masculino",0,"66",0.0148760330578512,0.00801603206412826,0.824793388429752,0.132264529058116,1,1,1,0,"AC","Jordao","jordao","11061947.73",16.2190216443403,0.640397629547133,0.0793752578848436,0.920624742115157
"10","ACmancio lima",120033,"1200336",0.625,"AC","mancio lima","Acre",7.95953798029345,6.42558189778931,0,14387,0,14387,0,"Não","Masculino",1,"45",0.148883374689826,0.0075187969924812,0.660049627791563,0.056390977443609,0,0,0,1,"AC","Mancio Lima","mancio lima","15583953.36",16.5617523120468,0.716816576701492,0.0591761172970942,0.940823882702906
"11","ACmanoel urbano",120034,"1200344",0.551,"AC","manoel urbano","Acre",7.79987216368387,5.31379693739642,0,7405,0,7405,1,"Sim","Masculino",0,"55",0.0305555555555556,0,0.844444444444444,0.161184210526316,0,0,0,1,"AC","Manoel Urbano","manoel urbano","12280928.2",16.323558064146,0.644918967393161,0.080059405834784,0.919940594165217
"12","ACmarechal thaumaturgo",120035,"1200351",0.501,"AC","marechal thaumaturgo","Acre",7.9383563570337,6.32507555144816,0,13728,0,13728,0,"Não","Masculino",0,"28",0.0114285714285714,0,0.855238095238095,0.169265033407572,1,1,1,0,"AC","Marechal Thaumaturgo","marechal thaumaturgo","21171553.54",16.8681690244526,0.634341269925487,0.0827040238269867,0.917295976173014
"13","ACplacido de castro",120038,"1200385",0.622,"AC","placido de castro","Acre",7.68263450870519,4.37386844697242,0,17921,0,17921,0,"Sim","Masculino",1,"39",0.141210374639769,0.0229007633587786,0.755043227665706,0.0515267175572519,1,1,1,0,"AC","Placido de Castro","placido de castro","21423309.62",16.879990121786,0.713348285573854,0.0599371015518618,0.940062898448139
"14","ACporto acre",120080,"1200807",0.576,"AC","porto acre","Acre",7.71137886668269,3.96385615406816,0,14309,0,14309,1,"Não","Masculino",0,"46",0.137123745819398,0,0.879598662207358,0.136882129277567,0,0,0,1,"AC","Porto Acre","porto acre","12774673.47",16.3629751336491,0.701375525143112,0.0671081510941229,0.932891848905878
"15","ACporto walter",120039,"1200393",0.532,"AC","porto walter","Acre",7.94517987067008,6.3525074376634,0,8562,0,8562,0,"Sim","Masculino",0,"58",0.0102389078498294,0,0.938566552901024,0.04,1,1,1,0,"AC","Porto Walter","porto walter","12040860.15",16.3038164363231,0.64920387719595,0.071698982257136,0.928301017742865
"16","ACrio branco",120040,"1200401",0.727,"AC","rio branco","Acre",7.71780065940226,0,0,301398,0,301398,1,"Sim","Masculino",1,"54",0.329072739948873,0.00326141495233317,0.926330467115966,0.0735072754641244,1,1,1,0,"AC","Rio Branco","rio branco","369993185.6",19.7289951461356,0.805367473690186,0.0421776522179074,0.957822347782093
"17","ACrodrigues alves",120042,"1200427",0.567,"AC","rodrigues alves","Acre",7.94875611002499,6.37424086696145,0,13020,0,13020,0,"Não","Masculino",0,"48",0.0653266331658292,0,0.969849246231156,0.0310880829015544,0,0,0,1,"AC","Rodrigues Alves","rodrigues alves","13695843.85",16.4326029761596,0.677951064096139,0.065318363777533,0.934681636222468
