"","code_merge","code_muni","cand_reelec_2012","cand_sex_2012","cand_age_2012","cand_esc_2012","cand_reelec_2008","cand_sex_2008","cand_age_2008","cand_esc_2008","code_muni2","pop_2012","pop_2008","IDHM","UF.x","MUNICIPIO.x","log_to_brasilia","log_to_capital","Nome_UF","MicrorregiãoGeográfica_Nome","metropolitano","bur_escol_2008.x","bur_terc_2008.x","bur_espel_2008.x","bur_polit_2008.x","bur_escol_2008.y","bur_terc_2008.y","bur_espel_2008.y","bur_polit_2008.y","bur_consel_2008","bur_consel_2012","alinhamento_federal_2008","alinhamento_estadual_2008","alinhamento_politico_2008","alinhamento_ambos_2008","n_alinhado_2008","alinhamento_federal_2012","alinhamento_estadual_2012","alinhamento_politico_2012","alinhamento_ambos_2012","n_alinhado_2012","partido_pt_2012","competpol_NEP_2004","competpol_candvaga_2004","competpol_NEP_2008","competpol_candvaga_2008","municipio.x","Habilitado","inova7","UF.y","MUNICIPIO.y","municipio.y","rec_orcamento_2012","log_orcamento_2012","orcamento_proppop_2012"
"18","ACsena madureira",120050,"Não","Masculino","36",0,"Sim","Masculino","48",1,"1200500",39366,35544,0.603,"AC","Sena Madureira",7.77039625798951,4.92194978926357,"Acre","Sena Madureira",0,0.111278195488722,0,0.950375939849624,0.0496240601503759,0.111278195488722,0,0.950375939849624,0.0496240601503759,1,0,0,0,0,0,1,0,0,0,0,1,0,3.80603485,4,1.988942666,2,"sena madureira","Não",0,"AC","Sena Madureira","sena madureira",48263577.45,17.6921877440918,1226.02188309709
"22","ALagua branca",270010,"Não","Feminino","52",1,"Não","Masculino","52",0,"2700102",19763,19882,0.549,"AL","Água Branca",7.17310738310022,5.50439613923565,"Alagoas","Serrana do Sertão Alagoano",0,0.162127107652399,0.0220492866407263,668,0.111543450064851,0.162127107652399,0.0220492866407263,668,0.111543450064851,1,0,0,0,0,0,1,0,0,0,0,1,0,1.804809555,2,3.305797225,4,"agua branca","Sim",1,"AL","agua Branca","agua branca",34455270.27,17.3551725268872,1743.423076962
"23","ALanadia",270020,"Sim","Masculino","45",0,"Não","Feminino","44",1,"2700201",17360,17765,0.568,"AL","Anadia",7.26606588449684,4.13356527537538,"Alagoas","São Miguel dos Campos",0,0.184412733260154,0.135016465422613,0.830954994511526,0.0340285400658617,0.184412733260154,0.135016465422613,0.830954994511526,0.0340285400658617,0,0,0,1,1,0,0,1,0,1,0,0,0,2.495782782,4,1.965620537,3,"anadia","Sim",1,"AL","Anadia","anadia",28297750.81,17.1582928827766,1630.05477016129
"24","ALarapiraca",270030,"Não","Feminino","60",1,"Sim","Masculino","50",1,"2700300",218140,208447,0.649,"AL","Arapiraca",7.23933700509894,4.6243844049119,"Alagoas","Arapiraca",0,0.344594594594595,0,4276,0.0477195945945946,0.344594594594595,0,4276,0.0477195945945946,1,1,0,0,0,0,1,0,0,0,0,1,0,1.783444077,2,1.199978222,3,"arapiraca","Sim",1,"AL","Arapiraca","arapiraca",368988525.13,19.7262761043126,1691.5216151554
"25","ALatalaia",270040,"Não","Masculino","49",1,"Sim","Masculino","52",0,"2700409",44892,51903,0.561,"AL","Atalaia",7.29144501521246,3.59621576925052,"Alagoas","Mata Alagoana",0,0.069910897875257,0,1383,0.0520904729266621,0.069910897875257,0,1383,0.0520904729266621,0,0,0,0,0,0,1,0,0,0,0,1,0,2.173421845,3,2.345137456,4,"atalaia","Sim",1,"AL","Atalaia","atalaia",72650400.46,18.1011694601471,1618.33735320324
"26","ALbarra de santo antonio",270050,"Não","Masculino","58",0,"Não","Feminino","59",1,"2700508",14665,14159,0.557,"AL","Barra de Santo Antônio",7.3279973348933,3.64571095871256,"Alagoas","Maceió",0,0.143283582089552,0.144776119402985,397.211940298507,0.0507462686567164,0.143283582089552,0.144776119402985,397.211940298507,0.0507462686567164,1,1,0,0,0,0,1,0,0,0,0,1,0,2.003504508,3,2.739341632,3,"barra de santo antonio","Sim",1,"AL","Barra de Santo Antonio","barra de santo antonio",30655609.39,17.238326217957,2090.39273031026
"29","ALbelo monte",270090,"Sim","Masculino","50",1,"Não","Masculino","47",0,"2700904",6499,7452,0.517,"AL","Belo Monte",7.19323492787872,5.13738541243255,"Alagoas","Batalha",0,0.110091743119266,0.128440366972477,236,0.146788990825688,0.110091743119266,0.128440366972477,236,0.146788990825688,0,0,0,0,0,0,1,0,0,0,0,1,0,1.791992075,2,2.057077527,5,"belo monte","Não",0,"AL","Belo Monte","belo monte",16161616.76,16.5981496530826,2486.78516079397
"30","ALboca da mata",270100,"Não","Masculino","42",1,"Sim","Masculino","47",1,"2701001",26010,25882,0.604,"AL","Boca da Mata",7.27328688663116,3.97480999352691,"Alagoas","São Miguel dos Campos",0,0.224422442244224,0.0231023102310231,1064,0.099009900990099,0.224422442244224,0.0231023102310231,1064,0.099009900990099,1,0,0,0,0,0,1,0,0,0,0,1,0,1.847036164,4,1.982630731,2,"boca da mata","Sim",1,"AL","Boca da Mata","boca da mata",54985596.25,17.8225818225349,2114.01754133026
"31","ALbranquinha",270110,"Sim","Feminino","45",1,"Não","Feminino","41",1,"2701100",10471,12142,0.513,"AL","Branquinha",7.30162677345392,4.02356438016105,"Alagoas","Mata Alagoana",0,0.100977198697068,0,560.07328990228,0.0146579804560261,0.100977198697068,0,560.07328990228,0.0146579804560261,0,0,0,0,0,0,1,0,0,0,0,1,0,1.866749433,2,1.976889244,2,"branquinha","Sim",1,"AL","Branquinha","branquinha",24191477.48,17.0015109588525,2310.33115079744
"36","ALcanapi",270160,"Não","Masculino","59",0,"Sim","Masculino","37",1,"2701605",17238,18313,0.506,"AL","Canapi",7.20228882638302,5.36466674708957,"Alagoas","Serrana do Sertão Alagoano",0,0.0939306358381503,0,562.153179190751,0.0346820809248555,0.0939306358381503,0,562.153179190751,0.0346820809248555,0,0,0,0,0,0,1,0,0,0,0,1,0,2.61631299,3,1.865622766,3,"canapi","Não",0,"AL","Canapi","canapi",33396370.7,17.3239577903662,1937.36922496809
