UF;MUNICIPIO;code_muni;code_muni2;CAPITALUF;DISTANCIABRASILIA;DISTANCIACAPITAL;MUNICIPIOX;MUNICIPIOY;CAPITALX;CAPITALY
RO;Alta Floresta D'Oeste;110001;1100015;Porto Velho;1577.25;409.34;-11.929;-61.996;-8.762;-63.904
RO;Ariquemes;110002;1100023;Porto Velho;1762.34;159.20;-9.913;-63.041;-8.762;-63.904
RO;Cabixi;110003;1100031;Porto Velho;1380.57;640.97;-13.492;-60.545;-8.762;-63.904
RO;Cacoal;110004;1100049;Porto Velho;1538.07;401.01;-11.438;-61.448;-8.762;-63.904
RO;Cerejeiras;110005;1100056;Porto Velho;1416.17;596.81;-13.189;-60.812;-8.762;-63.904
RO;Colorado do Oeste;110006;1100064;Porto Velho;1389.63;607.58;-13.117;-60.542;-8.762;-63.904
RO;Corumbiara;110007;1100072;Porto Velho;1430.07;571.49;-12.962;-60.887;-8.762;-63.904
RO;Costa Marques;110008;1100080;Porto Velho;1795.51;411.05;-12.445;-64.227;-8.762;-63.904
RO;Espigão D'Oeste;110009;1100098;Porto Velho;1490.21;441.03;-11.525;-61.013;-8.762;-63.904
RO;Guajará-Mirim;110010;1100106;Porto Velho;1963.20;274.27;-10.783;-65.339;-8.762;-63.904
RO;Jaru;110011;1100114;Porto Velho;1681.68;244.19;-10.439;-62.466;-8.762;-63.904
RO;Ji-Paraná;110012;1100122;Porto Velho;1610.44;318.87;-10.882;-61.944;-8.762;-63.904
RO;Machadinho D'Oeste;110013;1100130;Porto Velho;1678.63;224.34;-9.444;-61.981;-8.762;-63.904
RO;Nova Brasilândia D'Oeste;110014;1100148;Porto Velho;1618.86;371.71;-11.725;-62.331;-8.762;-63.904
RO;Ouro Preto do Oeste;110015;1100155;Porto Velho;1648.09;283.09;-10.716;-62.248;-8.762;-63.904
RO;Pimenta Bueno;110018;1100189;Porto Velho;1503.17;439.05;-11.673;-61.193;-8.762;-63.904
RO;Porto Velho;110020;1100205;Porto Velho;1901.64;0.00;-8.762;-63.904;-8.762;-63.904
RO;Presidente Médici;110025;1100254;Porto Velho;1594.46;346.65;-11.176;-61.901;-8.762;-63.904
RO;Rio Crespo;110026;1100262;Porto Velho;1757.49;152.11;-9.705;-62.900;-8.762;-63.904
RO;Rolim de Moura;110028;1100288;Porto Velho;1561.34;404.03;-11.733;-61.778;-8.762;-63.904
RO;Santa Luzia D'Oeste;110029;1100296;Porto Velho;1555.64;419.44;-11.902;-61.779;-8.762;-63.904
RO;Vilhena;110030;1100304;Porto Velho;1358.85;603.51;-12.741;-60.146;-8.762;-63.904
RO;São Miguel do Guaporé;110032;1100320;Porto Velho;1656.96;350.96;-11.681;-62.684;-8.762;-63.904
RO;Nova Mamoré;110033;1100338;Porto Velho;1975.76;241.04;-10.411;-65.331;-8.762;-63.904
