CodIbge;total;estatutarios;celetistas;comissionados;estagiarios;sem_vinculo
110001;994;792;122;80;0;0
110002;2578;2173;36;205;122;42
110003;320;245;26;48;1;0
110004;2144;1543;156;445;0;0
110005;580;492;18;68;0;2
110006;550;420;50;80;0;0
110007;429;402;2;25;0;0
110008;594;533;0;61;0;0
110009;955;634;78;164;0;79
110010;1268;1058;113;97;0;0
110011;1770;1029;116;612;13;0
110012;2905;2100;34;610;0;161
110013;1126;938;123;54;0;11
110014;656;524;54;72;0;6
110015;1495;1133;112;233;0;17
110018;1150;0;1031;70;0;49
110020;12474;11024;774;572;0;104
110025;721;555;66;100;0;0
110026;263;199;20;35;9;0
110028;1593;1205;177;85;126;0
110029;340;248;85;7;0;0
110030;2897;1938;117;487;0;355
110032;803;678;38;35;0;52
110033;999;748;4;247;0;0
110034;742;616;11;115;0;0
110037;656;586;0;70;0;0
110040;677;505;68;77;0;27
110045;1211;890;140;181;0;0
110050;418;275;45;98;0;0
110060;319;302;6;11;0;0
110070;569;505;14;50;0;0
110080;792;463;36;293;0;0
110090;326;189;7;130;0;0
110092;584;420;7;157;0;0
110094;534;392;86;56;0;0
110100;594;426;49;66;0;53
110110;466;372;0;94;0;0
110120;413;364;9;40;0;0
110130;527;401;18;76;0;32
110140;620;399;0;218;0;3
110143;350;299;0;48;0;3
110145;263;166;41;45;0;11
110146;282;112;0;71;0;99
110147;305;256;19;30;0;0
110148;330;196;39;86;0;9
110149;788;529;0;259;0;0
110150;576;495;42;39;0;0
110155;272;238;0;34;0;0
110160;552;444;0;95;0;13
110170;419;333;53;33;0;0
110175;423;359;31;30;0;3
110180;542;404;50;77;0;11
120001;469;0;418;51;0;Ignorado
120005;197;0;166;31;0;Ignorado
120010;629;0;583;46;0;Ignorado
120013;Ignorado;0;196;75;0;Ignorado
120017;Ignorado;0;330;40;0;Ignorado
120020;2364;1534;0;167;0;663
120025;Ignorado;0;455;50;0;Ignorado
120030;1031;516;278;54;0;183
120032;519;0;484;35;0;Ignorado
120033;551;457;0;33;0;61
120034;424;0;362;42;0;20
120035;648;607;0;41;0;Ignorado
120038;633;0;611;22;0;Ignorado
120039;479;446;0;33;0;Ignorado
120040;4950;3918;0;342;57;633
120042;733;676;0;57;0;Ignorado
120043;689;0;224;72;0;393
120045;716;649;0;67;0;Ignorado
120050;851;0;747;104;0;Ignorado
120060;1769;0;630;78;10;1051
120070;Ignorado;0;334;36;0;Ignorado
120080;Ignorado;0;311;64;0;Ignorado
130002;906;386;0;4;516;0
130006;397;224;0;26;0;147
130008;441;192;137;112;0;0
130010;575;346;0;88;0;141
130014;685;610;0;75;0;0
130020;816;144;0;17;0;655
130030;2420;938;0;92;0;1390
130040;816;693;0;65;0;58
130050;2222;480;764;70;0;908
130060;1626;896;0;145;0;585
130063;676;574;0;18;0;84
130068;589;420;0;169;0;0
130070;1547;943;0;83;0;521
130080;1683;524;0;19;0;1140
130083;1061;776;0;15;0;270
130090;1323;581;280;91;0;371
130100;943;729;0;43;0;171
130110;1050;751;167;132;0;0
130115;893;649;74;170;0;0
130120;6518;2704;0;1315;0;2499
130130;1059;566;230;263;0;0
130140;1873;1231;0;159;0;483
130150;1343;641;566;136;0;0
130160;1779;1068;0;8;0;703
130165;813;483;0;130;0;200
130170;1733;717;0;187;0;829
130180;755;326;24;175;0;230
130185;2369;1775;0;91;0;503
130190;3465;2584;0;151;0;730
130195;588;322;0;73;0;193
130200;558;200;0;41;0;317
130210;931;241;0;150;0;540
130220;538;278;0;40;0;220
130230;793;62;711;20;0;0
130240;1182;592;59;139;0;392
130250;2104;1057;0;386;0;661
130255;1008;282;0;132;0;594
130260;32210;21912;352;1778;1410;6758
130270;1513;880;0;208;0;425
130280;1037;162;0;25;0;850
130290;2016;1030;729;240;0;17
130300;143;39;0;104;0;0
130310;1598;438;0;44;0;1116
130320;938;453;0;238;0;247
130330;766;432;69;110;0;155
130340;3332;835;0;37;0;2460
130350;992;629;0;11;0;352
130353;2528;1549;0;218;0;761
130356;1449;585;0;152;0;712
130360;631;301;0;6;0;324
130370;1086;805;0;29;0;252
130380;1926;580;0;53;0;1293
130390;1215;648;0;150;0;417
130395;355;232;0;48;0;75
130400;437;297;0;72;0;68
130406;3005;961;121;131;0;1792
130410;1549;1101;0;52;10;386
130420;3200;1072;1997;131;0;0
130423;798;556;0;35;0;207
130426;945;107;0;7;0;831
130430;921;535;0;25;0;361
130440;548;423;0;125;0;0
140002;411;5;358;43;0;5
140005;760;344;72;93;0;251
140010;9575;3851;453;792;0;4479
140015;544;338;47;104;0;55
140017;795;413;74;31;0;277
140020;1130;626;0;104;4;396
140023;474;268;0;24;0;182
140028;288;114;72;102;0;0
140030;443;296;31;30;0;86
140040;432;130;122;49;0;131
140045;532;209;0;40;0;283
140047;1230;400;0;55;0;775
140050;274;192;0;82;0;0
140060;332;174;0;39;0;119
140070;235;59;0;35;0;141
150010;5299;3795;0;172;0;1332
150013;418;289;0;17;1;111
150020;2985;1351;0;98;0;1536
150030;940;399;33;59;0;449
150034;729;396;0;37;1;295
150040;2394;1140;0;288;0;966
150050;2324;1710;0;150;0;464
150060;3421;1798;0;135;0;1488
150070;1477;800;622;55;0;0
150080;14107;6469;0;4056;0;3582
150085;984;684;228;72;0;0
150090;1769;1297;0;162;0;310
150095;1229;994;0;73;0;162
150100;734;628;0;57;0;49
150110;1228;1170;0;58;0;0
150120;1920;1254;95;119;0;452
150125;363;120;0;32;9;202
150130;5706;3344;0;1152;0;1210
150140;17030;11598;450;1767;0;3215
150145;1179;323;0;42;1;813
150150;1940;373;0;141;0;1426
150157;613;319;2;0;292;0
150160;413;188;0;56;0;169
150170;3699;2253;0;85;0;1361
150172;794;342;0;51;0;401
150175;678;626;0;22;0;30
150178;1468;1363;0;100;0;5
150180;4225;3576;243;361;0;45
150190;1613;855;0;163;0;595
150195;1620;505;21;36;0;1058
150200;993;637;0;30;0;326
150210;4098;3572;2;142;0;382
150215;1735;657;0;130;0;948
150220;1937;1069;0;108;0;760
150230;2449;413;84;98;62;1792
150240;4395;2786;0;243;64;1302
150250;574;276;33;59;0;206
150260;557;365;0;159;0;33
150270;1326;664;145;119;0;398
150275;1240;1134;0;70;0;36
150276;598;319;145;33;0;101
150277;1128;Ignorado;Ignorado;71;Ignorado;Ignorado
150280;1268;1199;0;69;0;0
150285;1102;496;0;48;0;558
150290;1858;660;0;147;0;1051
150293;1882;1133;0;735;14;0
150295;1137;634;0;121;0;382
150300;564;464;0;55;0;45
150304;901;605;0;35;0;261
150307;1482;852;0;40;0;590
150309;2414;1577;0;42;0;795
150310;2000;1285;0;126;0;589
150320;1157;764;0;145;2;246
150330;2452;2019;0;7;0;426
150340;371;257;0;114;0;0
150345;1937;946;0;83;0;908
150350;520;145;0;61;0;314
150360;3883;3016;0;552;0;315
150370;2263;1963;0;0;0;300
150375;1038;928;0;101;0;9
150380;1980;1312;517;117;0;34
150390;2336;1630;0;292;0;414
150400;776;490;0;42;0;244
150405;1522;543;0;83;0;896
150410;527;147;0;51;0;329
150420;9431;8838;0;593;0;0
150430;2163;708;0;77;0;1378
150440;1474;817;0;28;0;629
150442;5581;267;246;416;0;4652
150445;996;582;0;40;0;374
150450;1093;895;0;35;0;163
150460;1776;1008;591;38;0;139
150470;3495;2489;0;95;0;911
150480;2399;1673;0;259;0;467
150490;1229;913;0;65;0;251
150495;1352;0;0;34;0;1318
150497;426;198;0;5;0;223
150500;587;342;0;66;0;179
150503;543;395;0;47;0;101
150506;3426;3267;0;159;0;0
150510;2231;1688;0;189;0;354
150520;1194;928;0;71;0;195
150530;2593;2187;0;108;0;298
150540;695;100;0;38;0;557
150543;1201;810;0;122;0;269
150548;1406;1309;32;54;0;11
150549;394;241;0;13;0;140
150550;3271;2296;913;62;0;0
150553;14303;8236;0;498;0;5569
150555;393;254;1;24;0;114
150560;402;235;30;32;0;105
150563;650;315;0;32;0;303
150565;829;400;0;77;0;352
150570;1183;614;0;0;0;569
150580;3038;1391;1583;64;0;0
150590;1930;736;0;66;0;1128
150600;2070;1482;0;193;0;395
150610;431;223;0;54;0;154
150611;589;379;0;195;0;15
150613;2745;1589;0;37;0;1119
150616;671;326;0;345;0;0
150618;1941;1406;0;109;5;421
150619;1409;1210;0;199;0;0
150620;1970;816;0;58;0;1096
150630;1003;84;0;20;0;899
150635;742;39;14;31;0;658
150640;325;90;0;29;0;206
150650;1721;1091;36;79;20;495
150655;1447;561;0;84;0;802
150658;836;315;0;59;0;462
150660;794;428;0;76;0;290
150670;1913;1220;185;39;0;469
150680;10257;3663;0;243;0;6351
150690;642;222;0;24;0;396
150700;1606;659;0;215;0;732
