habilitado;UF;municipio;inova5
Sim;AC;tarauaca;tarauaca
Não;AC;mancio lima;mancio lima
Não;AC;capixaba;capixaba
Não;RO;rolim de moura;rolim de moura
Não;RO;machadinho d´oeste;machadinho d´oeste
Não;PB;camalau;camalau
Sim;PB;serra branca;serra branca
Sim;DF;brasilia;brasilia
Não;DF;brazlandia;brazlandia
Não;AL;batalha;batalha
Não;TO;alvorada;alvorada
Não;TO;dois irmaos do tocantins;dois irmaos do tocantins
Não;TO;santa rita do tocantins;santa rita do tocantins
Não;TO;duere;duere
Não;SC;agronomica;agronomica
Não;SC;gaspar;gaspar
Não;RN;ceara mirim;ceara mirim
Não;RJ;mage;mage
Não;RJ;saquarema;saquarema
Não;RJ;rio de janeiro;rio de janeiro
Não;RJ;sao pedro da aldeia;sao pedro da aldeia
Não;RJ;itaborai;itaborai
Não;PI;jacobina;jacobina
Não;PI;cristino castro;cristino castro
Não;PI;luis correia;luis correia
Não;PA;portel;portel
Não;PA;curralinho;curralinho
Não;PA;bujaru;bujaru
Não;PA;sao francisco do para;sao francisco do para
Não;PA;santo antonio do taua;santo antonio do taua
Não;PA;acara;acara
Não;PA; aveiro; aveiro
Não;PA;maraba;maraba
Não;PA;tucuma;tucuma
Não;PA;rondon do para;rondon do para
Não;PA;goianesia do para;goianesia do para
Não;PA;canaa dos carajas;canaa dos carajas
Não;PA;mocajuba;mocajuba
Não;PA;baiao;baiao
Não;PA;moju;moju
Não;PA;tracuateua;tracuateua
Não;PA;viseu;viseu
Não;PA;jacunda;jacunda
Não;MS;dourados;dourados
Não;MT;guaranta do norte;guaranta do norte
Não;MT;comodoro;comodoro
Não;MA;sao jose de ribamar;sao jose de ribamar
Não;MA;penalva;penalva
Não;GO;porteirao;porteirao
Não;GO;aragoiania;aragoiania
Não;GO;alexania;alexania
Não;GO;professor jamil;professor jamil
Não;GO;panama;panama
Não;GO;caldas novas;caldas novas
Não;GO;ceres;ceres
Não;GO;anicuns;anicuns
Não;GO;santa terezinha de goias;santa terezinha de goias
Não;GO;crixas;crixas
Não;ES;marechal floriano;marechal floriano
Não;ES;piuma;piuma
Não;ES;pinheiros;pinheiros
Não;ES;sao jose do calcado;sao jose do calcado
Não;ES;jeronimo monteiro;jeronimo monteiro
Não;ES;baixo guandu;baixo guandu
Sim;DF;paranoa;paranoa
Sim;DF;giallanza;giallanza
Não;CE;salitre;salitre
Não;CE;aiuaba;aiuaba
Não;CE;paracuru;paracuru
Não;CE;saboeiro;saboeiro
Não;CE;deputado irapuan pinheiro;deputado irapuan pinheiro
Não;CE;aratuba;aratuba
Não;CE;madalena;madalena
Não;BA;maracas;maracas
Não;BA;iuiu;iuiu
Não;BA;amargosa;amargosa
Não;BA;pintadas;pintadas
Não;BA;caetite;caetite
Não;BA;nova fatima;nova fatima
Não;BA;guanambi;guanambi
Não;AL;teotonio vilela;teotonio vilela
Não;AL;murici;murici
Sim;TO;pugmil;pugmil
Sim;TO;araguacu;araguacu
Não;SP;avare;avare
Não;SP;pindamonhangaba;pindamonhangaba
Não;SP;pederneiras;pederneiras
Não;SP;mirandopolis;mirandopolis
Não;SP;piacatu;piacatu
Não;SP;rifaina;rifaina
Não;SP;orlandia;orlandia
Não;SP;caieiras;caieiras
Não;SP;tapiratiba;tapiratiba
Não;SP;quadra;quadra
Não;SP;guariba;guariba
Não;SC;sao bento do sul;sao bento do sul
Sim;RO;espigao do oeste;espigao do oeste
Não;RS;pinheiro machado;pinheiro machado
Não;RS;sao jose do ouro;sao jose do ouro
Não;RS;esperanca do sul;esperanca do sul
Não;RS;quarai;quarai
Não;RS;cacique doble;cacique doble
Não;RS;quatro irmaos;quatro irmaos
Não;RS;presidente lucena;presidente lucena
Não;RS;barra funda;barra funda
Não;RS;tres arroios;tres arroios
Não;RS;teutonia;teutonia
Não;RS;santo antonio do planalto;santo antonio do planalto
Não;RS;bom principio;bom principio
Não;RS;eldorado do sul;eldorado do sul
Não;RS;agua santa;agua santa
Não;RS;santa vitoria do palmar;santa vitoria do palmar
Não;RS;chapada;chapada
Não;RS;lagoa dos tres cantos;lagoa dos tres cantos
Não;RS;sapucaia do sul;sapucaia do sul
Não;RS;machadinho;machadinho
Não;RS;vila maria;vila maria
Não;RS;bento goncalves;bento goncalves
Não;RS;cerro largo;cerro largo
Não;RS;santo antonio do palma;santo antonio do palma
Não;RS;sao miguel das missoes;sao miguel das missoes
Não;RS;maquine;maquine
Sim;PB;condado;condado
Não;PA;santa isabel do para;santa isabel do para
Não;PA;augusto correa;augusto correa
Não;PA;soure;soure
Sim;MG;barao do monte alto;barao do monte alto
Sim;MG;antonio prado de minas;antonio prado de minas
Sim;MG;eugenopolis;eugenopolis
Sim;MG;tombos;tombos
Não;MG;santa cruz de salinas;santa cruz de salinas
Não;MG;nova lima;nova lima
Não;MG;presidente kubitschek;presidente kubitschek
Não;MG;aracai;aracai
Não;MG;presidente kubitschek;presidente kubitschek
Não;MG;pitangui;pitangui
Não;MG;bom repouso;bom repouso
Não;MG;funilandia;funilandia
Não;MG;mamonas;mamonas
Não;MG;prata;prata
Não;MG;coronel murta;coronel murta
Não;MG;catuti;catuti
Não;MG;santana de cataguases;santana de cataguases
Não;MG;formiga;formiga
Não;MG;andradas;andradas
Não;MG;alvarenga;alvarenga
Não;MG;bocaiuva;bocaiuva
Não;MG;sao domingos do prata;sao domingos do prata
Não;MG;joao pinheiro;joao pinheiro
Não;MG;corrego novo;corrego novo
Não;MG;pedra azul;pedra azul
Não;MG;sete lagoas;sete lagoas
Não;MG;sao goncalo do abaete;sao goncalo do abaete
Não;MG;campo florido;campo florido
Não;MG;medeiros;medeiros
Sim;MT;acorizal;acorizal
Sim;MT;novo mundo;novo mundo
Não;MA;humberto de campos;humberto de campos
Sim;GO;agua limpa;agua limpa
Não;GO;fazenda nova;fazenda nova
Sim;GO;senador canedo;senador canedo
Sim;GO;campo limpo de goias;campo limpo de goias
Sim;GO;inaciolandia;inaciolandia
Sim;GO;mara rosa;mara rosa
Não;ES;ponto belo;ponto belo
Não;ES;joao neiva;joao neiva
Não;ES;brejetuba;brejetuba
Não;ES;alfredo chaves;alfredo chaves
Sim;CE;ipu;ipu
Não;CE;assare;assare
Sim;CE;barbalha;barbalha
Não;CE;iguatu;iguatu
Não;BA;santo estevao;santo estevao
Sim;TO;dianopolis;dianopolis
Sim;TO;wanderlandia;wanderlandia
Sim;TO;tocantinopolis;tocantinopolis
Sim;TO;miranorte;miranorte
Sim;TO;guarai;guarai
Sim;TO;riachinho;riachinho
Sim;SP;jarinu;jarinu
Não;SP;sao lourenco da serra;sao lourenco da serra
Sim;SP;taquarivai;taquarivai
Sim;SP;igarapava;igarapava
Não;SP;presidente prudente;presidente prudente
Não;SP;salmourao;salmourao
Não;SP;guapiara;guapiara
Não;SP;sao simao;sao simao
Não;SP;barueri;barueri
Não;SP;catanduva;catanduva
Não;SP;cunha;cunha
Sim;SC;saudades;saudades
Não;SC;icara;icara
Sim;SC;catanduvas;catanduvas
Sim;SC;joinville;joinville
Sim;RR;rorainopolis;rorainopolis
Não;RS;vera cruz;vera cruz
Não;RS;cacapava do sul;cacapava do sul
Não;RS;porto maua;porto maua
Não;RS;palmares do sul;palmares do sul
Não;RS;unistalda;unistalda
Não;RS;pareci novo;pareci novo
Sim;RN;marcelino vieira;marcelino vieira
Não;RJ;santa maria madalena;santa maria madalena
Não;RJ;nova iguacu;nova iguacu
Sim;RJ;santo antonio de padua;santo antonio de padua
Sim;PI;sebastiao leal;sebastiao leal
Sim;PR;paranavai;paranavai
Não;PB;santa luzia;santa luzia
Sim;PB;catingueira;catingueira
Sim;PA;santa maria do para;santa maria do para
Sim;PA;breu branco;breu branco
Sim;PA;terra alta;terra alta
Sim;MG;patrocinio do muriae;patrocinio do muriae
Não;MG;lagoa da prata;lagoa da prata
Sim;MG;chapada gaucha;chapada gaucha
Sim;MG;jaboticatubas;jaboticatubas
Sim;MG;santo antonio do rio abaixo;santo antonio do rio abaixo
Sim;MG;guarani;guarani
Sim;MG;brazopolis;brazopolis
Não;MG;rio acima;rio acima
Sim;MS;obadias de lana;obadias de lana
Não;MS;anaurilandia;anaurilandia
Sim;MS;fatima do sul;fatima do sul
Sim;MS;vicentina;vicentina
Sim;MS;sete quedas;sete quedas
Sim;MT;nova nazare;nova nazare
Sim;MT;nova marilandia;nova marilandia
Sim;MT;pontal do araguaia;pontal do araguaia
Sim;MT;novo sao joaquim;novo sao joaquim
Sim;MT;canarana;canarana
Sim;MT;gaucha do norte;gaucha do norte
Sim;MT;indiavai;indiavai
Não;MA;balsas;balsas
Sim;GO;novo gama;novo gama
Sim;GO;santa helena de goias;santa helena de goias
Sim;GO;cachoeira alta;cachoeira alta
Sim;GO;porangatu;porangatu
Sim;GO;piracanjuba;piracanjuba
Sim;GO;aloandia;aloandia
Não;GO;joviania;joviania
Não;ES;bom jesus do norte;bom jesus do norte
Não;DF;varjao;varjao
Sim;DF;itapoa;itapoa
Sim;CE;campos sales;campos sales
Não;CE;tejucuoca;tejucuoca
Sim;AM;branquinha;branquinha
Sim;AL;cha preta;cha preta
Não;AL;campo alegre;campo alegre
Sim;AL;maravilha;maravilha
Sim;AL;capela;capela
Sim;AL;taquarana;taquarana
Sim;AL;feliz deserto;feliz deserto
Sim;AL;junqueiro;junqueiro
Não;AL;agua branca;agua branca
Sim;AC;senador guiomard;senador guiomard
Sim;TO;augustinopolis;augustinopolis
Sim;TO;caseara;caseara
Sim;TO;santa rosa do tocantins;santa rosa do tocantins
Sim;TO;miracema do tocantins;miracema do tocantins
Sim;TO;bernardo sayao;bernardo sayao
Sim;SP;promissao;promissao
Sim;SP;nova odessa;nova odessa
Sim;SP;rubiacea;rubiacea
Não;SP;cerqueira cesar;cerqueira cesar
Sim;SP;pontes gestal;pontes gestal
Sim;SP;votuporanga;votuporanga
Sim;SP;salto de pirapora;salto de pirapora
Não;SP;itaoca;itaoca
Não;SP;itapeva;itapeva
Não;SP;registro;registro
Sim;SP;pedro de toledo;pedro de toledo
Sim;SP;jacupiranga;jacupiranga
Sim;SP;miracatu;miracatu
Sim;SP;quata;quata
Não;SP;serra azul;serra azul
Sim;SC;aguas frias;aguas frias
Não;SC;sao domingos;sao domingos
Sim;SC;aguas de chapeco;aguas de chapeco
Sim;SC;canoinhas;canoinhas
Sim;SC;pinhalzinho;pinhalzinho
Sim;RR;alto alegre;alto alegre
Sim;RR;bonfim;bonfim
Sim;RR;caracarai;caracarai
Sim;RO;ariquemes;ariquemes
Não;RS;tapejara;tapejara
Sim;RS;pinhal;pinhal
Sim;RS;sagrada familia;sagrada familia
Sim;RS;boa vista do incra;boa vista do incra
Sim;RS;guapore;guapore
Sim;RS;vista gaucha;vista gaucha
Sim;RN;assu;assu
Sim;RN;luis gomes;luis gomes
Sim;RN;serra negra do norte;serra negra do norte
Sim;RN;lagoa nova;lagoa nova
Sim;RN;ipueira;ipueira
Sim;RJ;cabo frio;cabo frio
Sim;RJ;araruama;araruama
Não;RJ;belford roxo;belford roxo
Sim;PI;inhuma;inhuma
Sim;PI;barras;barras
Sim;PI;sao jose do piaui;sao jose do piaui
Sim;PI;caxingo;caxingo
Sim;PI;piripiri;piripiri
Sim;PI;jose de freitas;jose de freitas
Sim;PI;arraial;arraial
Sim;PI;corrente;corrente
Sim;PI;padre marcos;padre marcos
Sim;PE;tuparetama;tuparetama
Sim;PE;sao joao;sao joao
Sim;PE;jatauba;jatauba
Sim;PE;camocim de sao felix;camocim de sao felix
Sim;PB;sobrado;sobrado
Sim;PB;campina grande;campina grande
Sim;PB;joao pessoa;joao pessoa
Sim;PB;mae d`agua;mae d`agua
Sim;PA;igarape-miri;igarape-miri
Sim;PA;mae do rio;mae do rio
Sim;PA;parauapebas;parauapebas
Sim;MG;carangola;carangola
Sim;MG;lavras;lavras
Sim;MG;uruana de minas;uruana de minas
Não;MG;uberlandia;uberlandia
Sim;MG;jaiba;jaiba
Sim;MG;ouro branco;ouro branco
Sim;MG;ibiraci;ibiraci
Sim;MG;grao mogol;grao mogol
Sim;MG;arceburgo;arceburgo
Sim;MG;barroso;barroso
Sim;MS;taquarussu;taquarussu
Sim;MS;angelica;angelica
Sim;MS;japora;japora
Sim;MS;juti;juti
Sim;MS;amambai;amambai
Sim;MS;coronel sapucaia;coronel sapucaia
Sim;MS;mundo novo;mundo novo
Sim;MT;reserva do cabacal;reserva do cabacal
Sim;MT;pontes e lacerda;pontes e lacerda
Sim;MT;nova canaa do norte;nova canaa do norte
Sim;MT;barra do bugres;barra do bugres
Não;MT;sorriso;sorriso
Sim;MA;brejo;brejo
Sim;MA;joao lisboa;joao lisboa
Sim;MA;sao francisco do maranhao;sao francisco do maranhao
Sim;MA;colinas;colinas
Sim;GO;inhumas;inhumas
Sim;GO;indiara;indiara
Sim;GO;arenopolis;arenopolis
Sim;GO;chapadao do ceu;chapadao do ceu
Sim;GO;turvelandia;turvelandia
Sim;GO;piranhas;piranhas
Sim;GO;uirapuru;uirapuru
Sim;ES;mimoso do sul;mimoso do sul
Sim;ES;ibiracu;ibiracu
Sim;ES;alto rio novo;alto rio novo
Não;DF;sobradinho;sobradinho
Sim;CE;camocim;camocim
Sim;CE;aracati;aracati
